canonicalName,originStatus,source,sourceUrl,scope,note
Clarias gariepinus,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Coptodon rendalli,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,Published as Tilapia rendalli
Ctenopharyngodon idella,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Cyprinus carpio,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Hypophthalmichthys molitrix,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Ictalurus punctatus,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Lepomis gibbosus,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Lepomis macrochirus,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Micropterus salmoides,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Oncorhynchus mykiss,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Oreochromis niloticus,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Pangasianodon hypophthalmus,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
Tilapia rendalli,INTRODUCED,MAPA IN 16/2019,https://www.gov.br/agricultura/pt-br/assuntos/sustentabilidade/recursos-geneticos/lista-de-especies-introduzidas/aquaticos,Brazil,
